Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,0.331757432,10.07088642,4.666412488,3.616991587,2.141885098,0.029401815,0.489319322,0.003534311,5.230826619,7.428299482,0.28852014,0.592050637,4.35595045,4.179229837,1.388481672
A2,11.23200265,3.69821275,3.792142449,4.063771028,0.723007385,0.033425401,0.291882606,0.011634582,5.202954153,28.8184988,4.019739592,2.668242472,7.052360179,13.04391284,1.467767513
A3,3.060688121,0.894396102,3.176663972,3.296442976,3.618281025,0.028160389,0.664689056,0.022809328,5.193396167,19.46170308,1.727656237,1.460542546,3.097068808,11.70553956,1.441810573
A4,0.046105996,45.23388815,2.725979297,12.31814971,5.027007643,0.066551283,0.504283433,0,5.067183246,17.89528115,26.7416888,3.379996816,12.82174046,22.85654339,1.551237452
A5,3.472449297,20.37462281,8.132412903,1.947207332,6.889727202,0.01808142,0.638231091,0,4.868436387,11.65031846,1.750722772,1.152442901,8.852648676,7.123644918,1.375947875
A6,0.266078229,7.035630999,0.752103972,12.89109279,1.053058121,0.055667666,0.039294823,0.088413352,4.018944349,27.4459456,19.70331178,5.128286004,5.75320125,25.05936053,1.076826544
A7,9.364884944,13.21425544,7.99060047,0.044188634,0.681210459,0.010549614,0.093719669,0,3.091074434,23.1704001,0,7.020652279,9.194905301,9.454087984,1.028322755
A8,10.51910488,19.02166302,5.391630851,1.386908949,0.612269618,0.016225313,0.363970404,0.031927228,5.909639024,15.91100137,0,2.95379655,9.942333065,6.277901173,2.135652027
A9,11.75700846,6.383823183,2.404077323,0.763750989,1.075148904,0.020036055,0.518174483,0.078510581,7.314281269,14.7069811,2.982726443,4.774501551,6.177983584,8.90116619,2.250321919
A10,36.71058731,7.465289878,0.44233185,2.540081334,2.624715226,0.002965047,0.444386447,0.058374367,2.915163158,33.64753568,2.692957647,0.452951035,11.05691185,16.38214453,1.027349551
A11,2.365075487,31.34011736,0.068123462,1.105042326,1.613798552,0.017919774,0.034066609,0,4.649536406,5.255938213,0,1.060701535,7.994275762,2.440485879,1.549430286
A12,14.25122539,5.797785336,7.174988439,1.284259295,6.460664399,0.01253511,0.509431798,0.537458821,4.122591598,13.22297966,1.847802378,4.628085948,7.968722866,8.836782021,1.375752978
A13,0,4.38438724,4.245208248,0,1.12652147,0,0,0,1.658196656,26.15065059,0.234235186,8.714102274,2.494016966,10.65232309,0.65359206
A14,39.13422173,1.974262904,0.041514132,7.60967135,4.663531073,0.184624135,0.297176146,0.028205001,3.419908211,42.21526437,15.51758912,0.030753488,8.006282174,31.98908211,0.979568764
A15,3.500223789,10.37920705,0.716594955,2.601294748,1.592870234,0.049516159,0.019859422,0.033231433,3.718215976,24.71666392,21.87738388,0.767976934,3.513855057,20.61363474,1.333687925
A16,1.501148579,3.467711412,1.877499781,2.293001995,1.717908453,0.003591626,0.17587059,0,5.885371627,2.967312683,5.555490542,0.185593014,1.483586617,2.347262505,3.21633856
A17,0.507026492,1.474446221,3.202961188,3.784928752,1.022359819,0.017175396,0.615093879,0.005904042,4.034336978,16.31209931,1.681404742,0.126178712,1.928999402,9.470189399,1.214512891
A18,0,0.001710695,7.801358823,0,0.235994791,0.017228725,0,0,4.39073016,9.459241832,0.025980204,16.20924087,3.139409209,3.492766639,1.855604062
A19,0.076224942,8.836792463,4.376308736,2.327560519,2.602457486,0.186178167,0.401669268,0,5.904103612,4.418980232,1.672394094,0.989828396,3.679038635,3.698640354,1.39058059
A20,57.10914828,9.316187077,2.300597107,5.103061919,1.310560448,0.009855826,1.37261355,0.88302947,5.400481993,23.86426035,7.244962986,2.688505444,15.62760864,15.66598887,2.332637042
A21,1.340632757,8.188917631,0.408655852,3.703833489,0.712943233,0.004307923,0.413183971,0.030696591,5.033713742,14.12231628,1.158015846,0.701305037,2.78224337,7.870029932,1.511267867
A22,21.60454402,23.24364528,2.434767908,4.98726431,1.504093887,0.009596907,0.38809407,0.004990652,4.96178918,30.84427974,0,10.80167308,14.18610534,14.70986378,1.722999211
A23,26.93743275,11.03907372,2.907410931,0.736553698,0.0880083,0.021595831,0.556340127,0.009994054,6.337545422,25.1748514,0.564173864,0,8.577562452,13.91826137,1.794014778
A24,29.06871714,0.040816477,1.945317924,0.972264171,0.605724854,0.002873086,0.322567697,0.009775746,4.911382988,27.78620481,2.199553062,2.17305144,8.465379951,11.52723957,1.981690159
A25,14.35088157,0.021117795,1.954602774,3.749917037,1.868321497,0.024593225,0.449851076,0.068656087,5.840325231,16.69307793,2.370278191,0.632476831,4.806816434,10.64247988,1.44424393
A26,16.27045752,6.630565727,0.16603897,13.88873528,1.113519714,0.052924817,0.578497654,0,10.41550477,40.87112959,13.12000586,3.496165928,10.87612061,30.48386806,1.720562642
A27,46.97623743,14.59363051,0.47723471,7.885969721,1.253883243,0.207024993,2.015855131,0,19.88264927,35.22251725,21.06757712,9.828694722,24.92162933,28.44448549,4.495792434
A28,1.468356256,18.41042254,3.77436632,7.577624296,3.537955911,0.024143512,0.335275245,0,4.476092043,6.526191029,0.219617047,1.091056525,7.569257253,3.293386287,1.473032728
A29,69.72409106,0.035550743,0,0,30.87992689,0.528235045,0,0,6.003064234,7.144444481,72.30435091,0,51.17525055,26.34011039,0.68017961
A30,106.1006721,4.519899729,0.009737197,0.018199051,0.173505907,1.77764364,1.214757644,0,10.69178675,18.16211607,5.87892173,11.76882315,61.10630172,8.247156592,2.792201673
